,state_string,a_value_0,a_value_1,a_value_2,a_value_3,a_value_4,a_value_5,a_value_6,a_value_7,a_value_8
72,002200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,102200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,202200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,012200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,112200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,212200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,022200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,122200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,222200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,000010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,100010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,200010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,010010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,110010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,210010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,020010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,120010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,220010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,001010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,101010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,201010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,011010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,111010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,211010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,021010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,121010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,221010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,002010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,102010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,202010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,012010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,112010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,212010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,022010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,122010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,222010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,000110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,100110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,200110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,010110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,110110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,210110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,020110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,120110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,220110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,001110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
