,model_action,best_action_t_plus_1,mean_price
864,H,B,0.9390000000000001
865,H,B,0.94
866,H,B,0.94
867,H,S,0.938
868,H,S,0.9359999999999999
869,H,S,0.935
870,H,B,0.938
871,H,B,0.938
872,H,S,0.937
873,H,B,0.937
874,H,B,0.937
875,H,B,0.938
876,H,B,0.9390000000000001
877,H,B,0.943
878,H,B,0.9440000000000001
879,H,B,0.9440000000000001
880,H,S,0.943
881,H,B,0.943
882,H,S,0.9420000000000001
883,H,S,0.9359999999999999
884,H,B,0.9359999999999999
885,H,S,0.9329999999999999
886,H,B,0.9329999999999999
887,H,B,0.934
888,H,S,0.9309999999999999
889,H,B,0.9309999999999999
890,H,S,0.929
891,H,B,0.935
892,H,S,0.9329999999999999
893,H,B,0.9329999999999999
894,H,S,0.932
895,H,B,0.935
896,H,B,0.937
897,H,S,0.9359999999999999
898,H,B,0.9359999999999999
899,H,S,0.9329999999999999
900,H,S,0.932
901,H,B,0.932
902,H,B,0.934
903,H,B,0.9359999999999999
904,H,B,0.937
905,H,B,0.938
906,H,B,0.938
907,H,B,0.9390000000000001
908,H,B,0.94
909,H,S,0.9390000000000001
910,H,B,0.9390000000000001
911,H,B,0.9390000000000001
912,H,B,0.9390000000000001
913,H,B,0.9390000000000001
914,H,S,0.938
915,H,S,0.937
916,H,B,0.937
917,H,B,0.938
918,H,B,0.9390000000000001
919,H,S,0.9359999999999999
920,H,B,0.9359999999999999
921,H,B,0.9359999999999999
922,H,B,0.9359999999999999
923,H,S,0.934
924,H,S,0.932
925,H,B,0.9329999999999999
926,H,S,0.932
927,H,B,0.9329999999999999
928,H,B,0.9329999999999999
929,H,S,0.9309999999999999
930,H,B,0.9309999999999999
931,H,S,0.9259999999999999
932,H,S,0.925
933,H,S,0.924
934,H,B,0.925
935,H,B,0.9259999999999999
936,H,B,0.9259999999999999
937,H,S,0.925
938,H,S,0.924
939,H,B,0.924
940,H,B,0.925
941,H,B,0.9259999999999999
942,H,B,0.9259999999999999
943,H,S,0.924
944,H,B,0.927
945,H,B,0.9279999999999999
946,H,B,0.9279999999999999
947,H,B,0.9279999999999999
948,H,S,0.927
949,H,S,0.9259999999999999
950,H,B,0.927
951,H,B,0.9279999999999999
952,H,B,0.9279999999999999
953,H,B,0.9279999999999999
954,H,B,0.9279999999999999
955,H,S,0.9259999999999999
956,H,B,0.9279999999999999
957,H,B,0.9279999999999999
958,H,S,0.927
959,H,B,0.9279999999999999
960,H,S,0.9259999999999999
961,H,B,0.9259999999999999
962,H,B,0.9259999999999999
963,H,B,0.929
964,H,B,0.9329999999999999
965,H,B,0.9329999999999999
966,H,B,0.934
967,H,S,0.9329999999999999
968,H,B,0.9329999999999999
969,H,B,0.934
970,H,B,0.934
971,H,S,0.9329999999999999
972,H,B,0.9329999999999999
973,H,B,0.935
974,H,B,0.938
975,H,S,0.9359999999999999
976,H,S,0.932
977,H,B,0.932
978,H,B,0.932
979,H,B,0.932
980,H,B,0.932
981,H,B,0.9329999999999999
982,H,S,0.932
983,H,B,0.932
984,H,S,0.9309999999999999
985,H,B,0.9309999999999999
986,H,B,0.932
987,H,B,0.932
988,H,B,0.932
989,H,B,0.932
990,H,S,0.9309999999999999
991,H,S,0.927
992,H,B,0.927
993,H,B,0.9279999999999999
