,model_action,best_action_t_plus_1,mean_price,original_price
1643,H,B,0.9109999999999999,8384.876
1644,H,B,0.9129999999999999,8397.882
1645,H,H,0.9109999999999999,8377.223
1646,H,B,0.912,8388.814
1647,H,B,0.9129999999999999,8395.882
1648,H,B,0.9129999999999999,8398.985999999999
1649,H,B,0.9129999999999999,8403.185
1650,H,B,0.9129999999999999,8397.783000000001
1651,H,B,0.9129999999999999,8395.266
1652,H,B,0.9129999999999999,8398.669
1653,H,B,0.9129999999999999,8397.222
1654,H,B,0.914,8404.367
1655,H,H,0.9129999999999999,8395.53
1656,H,H,0.912,8387.005
1657,H,H,0.9109999999999999,8379.883
1658,H,B,0.912,8387.434000000001
1659,H,H,0.9109999999999999,8381.56
1660,H,B,0.912,8393.491
1661,H,B,0.9129999999999999,8403.378
1662,H,B,0.914,8406.815
1663,H,B,0.914,8404.588
1664,H,H,0.9129999999999999,8398.997
1665,H,H,0.912,8390.239
1666,H,H,0.9109999999999999,8378.405999999999
1667,H,B,0.912,8390.953000000001
1668,H,B,0.912,8391.651
1669,H,B,0.9129999999999999,8398.371
1670,H,B,0.9129999999999999,8400.056
1671,H,B,0.914,8406.848
1672,H,H,0.9129999999999999,8402.886999999999
1673,H,B,0.9129999999999999,8396.12
1674,H,H,0.912,8393.804
1675,H,B,0.912,8389.114
1676,H,H,0.9109999999999999,8384.356
1677,H,B,0.9109999999999999,8378.777
1678,H,B,0.912,8390.766
1679,H,B,0.912,8392.614
1680,H,B,0.912,8389.507
1681,H,H,0.9109999999999999,8381.2
1682,H,H,0.9079999999999999,8354.588
1683,H,H,0.9059999999999999,8331.027
1684,H,H,0.903,8306.116
1685,H,B,0.9079999999999999,8350.334
1686,H,B,0.9079999999999999,8359.190999999999
1687,H,B,0.909,8365.976
1688,H,B,0.909,8363.116
1689,H,B,0.909,8361.99
1690,H,B,0.909,8361.115
1691,H,B,0.91,8369.011
1692,H,B,0.912,8384.521999999999
1693,H,B,0.912,8384.658000000001
1694,H,H,0.91,8368.985999999999
1695,H,H,0.909,8359.443000000001
1696,H,H,0.9079999999999999,8348.685
1697,H,B,0.9079999999999999,8356.777
1698,H,B,0.9079999999999999,8356.253
1699,H,B,0.9079999999999999,8350.335
1700,H,H,0.9059999999999999,8331.549
1701,H,H,0.904,8319.081
1702,H,H,0.903,8308.84
1703,H,B,0.905,8320.601
1704,H,H,0.902,8300.556999999999
1705,H,H,0.9009999999999999,8285.409
1706,H,H,0.9,8280.371
1707,H,H,0.898,8262.996
1708,H,B,0.899,8273.142
1709,H,B,0.9009999999999999,8288.134
1710,H,B,0.903,8306.098
1711,H,B,0.903,8304.791
1712,H,H,0.902,8301.692
1713,H,B,0.902,8299.175
1714,H,B,0.903,8305.347
1715,H,B,0.904,8317.6
1716,H,B,0.904,8320.368
1717,H,H,0.903,8307.312
1718,H,B,0.903,8303.549
1719,H,H,0.902,8295.735999999999
1720,H,H,0.9009999999999999,8291.67
1721,H,H,0.9,8281.641
1722,H,B,0.9009999999999999,8287.104
1723,H,B,0.9009999999999999,8285.634
1724,H,B,0.9009999999999999,8291.908000000001
1725,H,B,0.902,8299.154
1726,H,B,0.9059999999999999,8332.833
1727,H,B,0.91,8368.360999999999
1728,H,H,0.9079999999999999,8354.599
1729,H,B,0.9079999999999999,8351.561
1730,H,B,0.909,8364.69
1731,H,B,0.91,8375.243
1732,H,B,0.9109999999999999,8378.82
1733,H,B,0.912,8386.997
1734,H,H,0.9109999999999999,8381.542
1735,H,B,0.9109999999999999,8382.439
1736,H,H,0.91,8375.671
1737,H,B,0.912,8390.495
1738,H,H,0.91,8376.789
1739,H,H,0.907,8347.204
1740,H,B,0.907,8348.302
1741,H,B,0.909,8360.359
1742,H,B,0.91,8370.713
1743,H,B,0.91,8368.249
1744,H,H,0.909,8361.22
1745,H,B,0.909,8366.799
1746,H,B,0.9109999999999999,8379.089
1747,H,H,0.91,8374.309000000001
1748,H,B,0.91,8370.466999999999
1749,H,B,0.9109999999999999,8378.091
1750,H,B,0.9109999999999999,8381.277
1751,H,H,0.909,8366.356
1752,H,H,0.907,8342.104
1753,H,B,0.907,8340.364
1754,H,B,0.907,8348.639000000001
1755,H,H,0.9059999999999999,8333.375
1756,H,H,0.905,8327.927
1757,H,B,0.9059999999999999,8333.481
1758,H,H,0.905,8328.091
1759,H,H,0.904,8314.207
1760,H,B,0.9059999999999999,8334.216999999999
1761,H,B,0.9059999999999999,8335.238000000001
1762,H,B,0.9079999999999999,8349.035
1763,H,H,0.907,8342.673
1764,H,H,0.905,8325.774
1765,H,H,0.903,8309.539
1766,H,B,0.905,8322.499
1767,H,B,0.905,8324.536
1768,H,B,0.9059999999999999,8339.844000000001
1769,H,H,0.905,8331.692
1770,H,B,0.905,8323.055
1771,H,B,0.907,8347.263
1772,H,B,0.909,8357.545
1773,H,H,0.9079999999999999,8348.359
1774,H,H,0.907,8347.071
1775,H,H,0.904,8319.198
1776,H,B,0.905,8321.972
1777,H,H,0.904,8319.1
1778,H,B,0.904,8315.114
1779,H,B,0.9059999999999999,8336.844000000001
